,Name of movie,Year of relase,Description,Director,Genre,Star,Watchtime,Votes,Gross collection,Movie Rating,Metascore
132,Metropolis,1927,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",Not Rated,Drama Sci-Fi,['153 min'],153,"166,611",$1.24M,8.3,98
133,The Kid,1921,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",Passed,Comedy Drama Family,['68 min'],68,"120,001",$5.45M,8.3,^^^^^^
134,Andhadhun,2018,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",Not Rated,Crime Drama Music,['139 min'],139,"82,510",$1.37M,8.2,^^^^^^
135,Green Book,2018,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,PG-13,Biography Comedy Drama,['130 min'],130,"425,808",$85.08M,8.2,69
136,A Silent Voice: The Movie,2016,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",Not Rated,Animation Drama,['130 min'],130,"62,708",*****,8.2,78
137,Talvar,2015,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,Not Rated,Crime Drama Mystery,['132 min'],132,"33,283",$0.34M,8.2,^^^^^^
138,Baahubali 2: The Conclusion,2017,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",Not Rated,Action Drama,['167 min'],167,"81,011",$20.19M,8.2,^^^^^^
139,Klaus,2019,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",PG,Animation Adventure Comedy,['96 min'],96,"119,416",*****,8.2,65
140,Masaan,2015,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies.",109 min,Drama,['Drama'],109,"25,812",*****,8.2,^^^^^^
141,Drishyam,2015,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",Not Rated,Crime Drama Mystery,['163 min'],163,"76,652",$0.74M,8.2,^^^^^^
142,Queen,2013,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,Not Rated,Adventure Comedy Drama,['146 min'],146,"63,330",$1.43M,8.2,^^^^^^
143,Tangerines,2013,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.",Not Rated,Drama War,['87 min'],87,"43,906",$0.14M,8.2,73
144,Bhaag Milkha Bhaag,2013,The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition.,Not Rated,Biography Drama Sport,['186 min'],186,"64,690",$1.63M,8.2,^^^^^^
145,Gangs of Wasseypur,2012,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Not Rated,Action Crime Drama,['321 min'],321,"89,580",*****,8.2,89
146,Udaan,2010,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",Not Rated,Drama,['134 min'],134,"43,879",$0.01M,8.2,^^^^^^
147,Paan Singh Tomar,2012,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",Not Rated,Action Biography Crime,['135 min'],135,"34,896",$0.04M,8.2,^^^^^^
148,Zindagi Na Milegi Dobara,2011,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,Not Rated,Comedy Drama,['155 min'],155,"72,765",$3.11M,8.2,^^^^^^
149,The Secret in Their Eyes,2009,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,R,Drama Mystery Romance,['129 min'],129,"200,955",$6.39M,8.2,80
150,Shutter Island,2010,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",R,Mystery Thriller,['138 min'],138,"1,194,624",$128.01M,8.2,63
151,Up,2009,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",PG,Animation Adventure Comedy,['96 min'],96,"974,964",$293.00M,8.2,88
152,Miracle in Cell No. 7,2019,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie Miracle in Cell No. 7 (2013).,TV-14,Drama,['132 min'],132,"42,406",*****,8.2,^^^^^^
153,Article 15,2019,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.",Not Rated,Crime Drama Mystery,['130 min'],130,"27,538",*****,8.2,^^^^^^
154,The Wolf of Wall Street,2013,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",R,Biography Crime Drama,['180 min'],180,"1,263,159",$116.90M,8.2,75
155,Chak De! India,2007,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",Not Rated,Drama Family Sport,['153 min'],153,"77,402",$1.11M,8.2,68
156,There Will Be Blood,2007,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",R,Drama,['158 min'],158,"544,226",$40.22M,8.2,93
157,Pan's Labyrinth,2006,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",R,Drama Fantasy War,['118 min'],118,"638,209",$37.63M,8.2,98
158,Toy Story 3,2010,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",G,Animation Adventure Comedy,['103 min'],103,"785,642",$415.00M,8.2,92
159,Black,2005,"The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world.",Not Rated,Drama,['122 min'],122,"34,174",$0.73M,8.2,^^^^^^
160,Batman Begins,2005,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",PG-13,Action Adventure,['140 min'],140,"1,359,088",$206.85M,8.2,70
161,Swades,2004,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,Not Rated,Drama Musical,['189 min'],189,"86,999",$1.22M,8.2,^^^^^^
162,Downfall,2004,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",R,Biography Drama History,['156 min'],156,"341,619",$5.51M,8.2,82
163,Howl's Moving Castle,2004,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",PG,Animation Adventure Family,['119 min'],119,"357,034",$4.71M,8.2,80
164,A Beautiful Mind,2001,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",PG-13,Biography Drama,['135 min'],135,"880,555",$170.74M,8.2,72
165,Hera Pheri,2000,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",Not Rated,Action Comedy Crime,['156 min'],156,"62,079",*****,8.2,^^^^^^
166,"Lock, Stock and Two Smoking Barrels",1998,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",R,Action Comedy Crime,['107 min'],107,"554,718",$3.90M,8.2,66
167,L.A. Confidential,1997,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",R,Crime Drama Mystery,['138 min'],138,"551,382",$64.62M,8.2,90
168,The Bandit,1996,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",Not Rated,Crime Drama Thriller,['128 min'],128,"67,598",*****,8.2,^^^^^^
169,Heat,1995,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,R,Crime Drama Thriller,['170 min'],170,"605,579",$67.44M,8.2,76
170,Casino,1995,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",R,Crime Drama,['178 min'],178,"487,476",$42.44M,8.2,73
171,Unforgiven,1992,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",R,Drama Western,['130 min'],130,"391,438",$101.16M,8.2,85
172,Indiana Jones and the Last Crusade,1989,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",PG-13,Action Adventure,['127 min'],127,"716,753",$197.17M,8.2,65
173,Time of the Gypsies,1988,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.",R,Comedy Crime Drama,['142 min'],142,"29,386",$0.28M,8.2,^^^^^^
174,My Neighbor Totoro,1988,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",G,Animation Family Fantasy,['86 min'],86,"310,457",$1.11M,8.2,86
175,Die Hard,1988,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,R,Action Thriller,['132 min'],132,"820,144",$83.01M,8.2,72
176,Ran,1985,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",R,Action Drama War,['162 min'],162,"119,274",$4.14M,8.2,96
177,Raging Bull,1980,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",R,Biography Drama Sport,['129 min'],129,"335,418",$23.38M,8.2,89
178,Autumn Sonata,1978,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young.",PG,Drama Music,['99 min'],99,"31,099",*****,8.2,^^^^^^
179,Taxi Driver,1976,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",R,Crime Drama,['114 min'],114,"760,871",$28.26M,8.2,94
180,The Message,1976,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.,PG,Biography Drama History,['177 min'],177,"45,688",*****,8.2,^^^^^^
181,Sholay,1975,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",Not Rated,Action Adventure Comedy,['162 min'],162,"53,608",*****,8.2,^^^^^^
182,Monty Python and the Holy Grail,1975,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",PG,Adventure Comedy Fantasy,['91 min'],91,"517,286",$1.23M,8.2,91
